Year,25%_Emissions_GtC,25%_CO2_ppm,25%_Temp_C,25%_Forcing_Wm2,50%_Emissions_GtC,50%_CO2_ppm,50%_Temp_C,50%_Forcing_Wm2,75%_Emissions_GtC,75%_CO2_ppm,75%_Temp_C,75%_Forcing_Wm2,100%_Emissions_GtC,100%_CO2_ppm,100%_Temp_C,100%_Forcing_Wm2
2110,2.675,312.37126429251407,1.0244170373442611,0.5853051237372877,5.35,318.25726950601216,1.0514667534479303,0.6851770473037576,8.024999999999999,324.1432747195099,1.0781387515331025,0.7832187112974813,10.7,330.02927993300784,1.104444229094249,0.8794959931736615
2111,2.675,311.8779190066638,1.0188500201504722,0.5768488921572892,5.35,317.80028411589194,1.046445243741316,0.6774894654366878,8.024999999999999,323.7226492251197,1.0736514593640991,0.7762717593804035,10.7,329.6450143343477,1.1004802988801268,0.8732631561411399
2112,2.675,311.3944406265305,1.0132713750622346,0.5685487973029466,5.35,317.3524384335741,1.0414127770010584,0.6699449026491798,8.024999999999999,323.3104362406173,1.0691537689609978,0.7694549834998844,10.7,329.2684340476608,1.0965064249948904,0.8671479227730016
2113,2.675,310.92063181399993,1.0076824628683112,0.5604021919928727,5.35,316.91354966490263,1.0363706024293171,0.6625408944532123,8.024999999999999,322.906467515805,1.0646468213173894,0.7627661056735403,10.7,328.8993853667076,1.0925236434865058,0.8611482047929265
2114,2.675,310.4562991777199,1.0020846095796436,0.552406465268596,5.35,316.4834386716046,1.0313199370393773,0.655275011570259,8.024999999999999,322.5105781654889,1.060131727821299,0.7562028817736104,10.7,328.5377176593734,1.0885329633714185,0.8552619461059137
2115,2.675,310.00125319416554,0.9964791070694167,0.544559042220236,5.35,316.0619298981725,1.0262619662611385,0.6481448596991057,8.024999999999999,322.1226066021791,1.055609570823485,0.7497631012492162,10.7,328.18328330618596,1.0845353671632756,0.8494871224871319
2116,2.675,309.55530813028224,0.9908672137052057,0.5368573837995999,5.35,315.648851300209,1.021197844538587,0.6411480792740502,8.024999999999999,321.7423944701355,1.0510814041977508,0.7434445868417382,10.7,327.83593764006224,1.0805318113938023,0.8438217412663322
2117,2.675,309.1182819676766,0.9852501549731915,0.5292989866213254,5.35,315.2440342742048,1.0161286959192608,0.6342823452140318,8.024999999999999,321.36978658073275,1.0465482538932902,0.7372451942937566,10.7,327.495538887261,1.076523227125877,0.8382638410082154
2118,2.675,308.68999632832305,0.979629124094427,0.5218813827526569,5.35,314.84731358872074,1.011055614635716,0.6275453666632086,8.024999999999999,321.0046308491181,1.0420111184791034,0.7311628120520224,10.7,327.1619481095158,1.072510520458854,0.8328114911890905
2119,2.675,308.2702764017566,0.9740052826331512,0.51460213949244,5.35,314.45852731694634,1.0059796656790088,0.6209348867234992,8.024999999999999,320.6467782321357,1.037470969680514,0.7251953609648636,10.7,326.8350291473255,1.0684945730261863,0.8274627918702201
